phase,year,plot,plot_num,plot_dir,rotation,corn,crop,variety,all_corn,yield_bush,yield_ton,treated,treatment,manure,lime,nit,p205,k20,stover,population,plant_date,plant_day,soil_sample,damage,notes
1,1888,3NA,3,NW,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,3NB,3,NW,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,3NC,3,NE,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,3ND,3,NE,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,3SA,3,SW,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,3SB,3,SW,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,3SC,3,SE,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,3SD,3,SE,1,TRUE,CC,Burr's White,FALSE,54.3,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4NA,4,NW,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4NB,4,NW,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4NC,4,NE,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4ND,4,NE,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4SA,4,SW,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4SB,4,SW,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4SC,4,SE,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,4SD,4,SE,2,TRUE,C,Burr's White,FALSE,49.5,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-05-04,125,FALSE,NA,NA
1,1888,5NA,5,NW,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1888,5NB,5,NW,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1888,5NC,5,NE,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1888,5ND,5,NE,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1888,5SA,5,SW,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1888,5SB,5,SW,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1888,5SC,5,SE,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1888,5SD,5,SE,3,FALSE,O,Welcome,FALSE,48.6,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1888-04-05,96,FALSE,NA,NA
1,1889,3NA,3,NW,1,TRUE,CC,Burr's White,FALSE,43.2,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1889-04-30,120,FALSE,NA,NA
1,1889,3NB,3,NW,1,TRUE,CC,Burr's White,FALSE,43.2,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1889-04-30,120,FALSE,NA,NA
1,1889,3NC,3,NE,1,TRUE,CC,Burr's White,FALSE,43.2,NA,FALSE,none,NA,NA,NA,NA,NA,NA,NA,1889-04-30,120,FALSE,NA,NA
