Customer_ID,Employee_ID,Street_ID,Order_Date,Delivery_Date,Order_ID,Order_Type,Product_ID,Quantity,Total_Retail_Price,CostPrice_Per_Unit,Discount
63,121039,9260125492,11JAN2003,11JAN2003,1230058123,1,220101300017,1,$16.50,$7.45,
5,99999999,9260114570,15JAN2003,19JAN2003,1230080101,2,230100500026,1,$247.50,$109.55,
45,99999999,9260104847,20JAN2003,22JAN2003,1230106883,2,240600100080,1,$28.30,$8.55,
41,120174,1600101527,28JAN2003,28JAN2003,1230147441,1,240600100010,2,$32.00,$6.50,
183,120134,1600100760,27FEB2003,27FEB2003,1230315085,1,240200200039,3,$63.60,$8.80,
79,99999999,9260101874,02MAR2003,03MAR2003,1230333319,2,240100400005,1,$234.60,$115.95,
23,99999999,9260126679,03MAR2003,08MAR2003,1230338566,2,240800200062,1,$35.40,$16.15,
23,99999999,9260126679,03MAR2003,08MAR2003,1230338566,2,240800200063,2,$73.80,$16.85,
45,99999999,9260104847,09MAR2003,11MAR2003,1230371142,2,240500100004,2,$127.00,$28.00,
45,99999999,9260104847,09MAR2003,11MAR2003,1230371142,2,240500200003,1,$23.20,$11.10,
56,121059,9260111871,15MAR2003,15MAR2003,1230404278,1,220200300002,2,$75.00,$17.05,
183,120149,1600100760,22MAR2003,22MAR2003,1230440481,1,230100600005,1,$129.80,$63.20,
16,99999999,3940105865,24MAR2003,26MAR2003,1230450371,2,230100600018,2,$128.40,$32.20,
79,99999999,9260101874,24MAR2003,25MAR2003,1230453723,2,240500200056,1,$24.10,$11.55,
183,120134,1600100760,25MAR2003,25MAR2003,1230455630,1,240200100233,2,$91.80,$22.45,
2788,99999999,9050100001,28MAR2003,30MAR2003,1230478006,2,230100100025,2,$60.60,$13.15,
20,121066,9260118934,01APR2003,01APR2003,1230498538,1,230100300006,1,$68.50,$34.35,
70046,99999999,2600100017,02APR2003,03APR2003,1230500669,3,240200100131,2,$148.60,$41.35,
12386,99999999,4750100001,02APR2003,03APR2003,1230503155,2,220101400310,1,$31.80,$14.20,
23,99999999,9260126679,18APR2003,23APR2003,1230591673,2,220200200024,3,$178.50,$32.25,
36,99999999,9260128237,18APR2003,20APR2003,1230591675,3,240500100039,1,$34.50,$15.40,
79,121045,9260101874,18APR2003,18APR2003,1230591684,1,240200100076,4,"$1,796.00",$246.55,
61,99999999,3940108887,24APR2003,29APR2003,1230619748,2,220200100092,1,$83.00,$41.60,
61,99999999,3940108887,24APR2003,29APR2003,1230619748,2,220200300005,3,$345.00,$52.35,
13,99999999,3940105189,28APR2003,03MAY2003,1230642273,2,230100500082,1,$126.10,$58.60,
171,99999999,1600101555,01MAY2003,04MAY2003,1230657844,3,240100100646,1,$109.90,$46.80,
11171,99999999,2600100032,07MAY2003,09MAY2003,1230690733,3,240200100043,2,$282.40,$69.40,
14703,99999999,4750100002,08MAY2003,11MAY2003,1230699509,2,220100100044,1,$102.10,$48.65,
14703,99999999,4750100002,08MAY2003,11MAY2003,1230699509,2,220100400005,1,$81.30,$40.75,
79,99999999,9260101874,08MAY2003,09MAY2003,1230700421,2,230100100006,1,$176.00,$74.55,
79,99999999,9260101874,08MAY2003,09MAY2003,1230700421,2,230100500045,2,$2.60,$0.60,
79,99999999,9260101874,08MAY2003,09MAY2003,1230700421,2,230100500068,2,$3.40,$0.80,
928,99999999,9050100016,15MAY2003,19MAY2003,1230738723,2,230100600026,2,$237.20,$59.40,
19444,99999999,4750100001,16MAY2003,21MAY2003,1230744524,2,220100700024,1,$99.70,$47.45,
19444,99999999,4750100001,16MAY2003,21MAY2003,1230744524,2,220101000002,1,$17.70,$8.00,
71,121060,9260124130,16MAY2003,16MAY2003,1230745294,1,220200100179,1,$134.50,$67.35,
12,121039,9260103713,18MAY2003,18MAY2003,1230754828,1,220100100272,3,$68.40,$11.50,
12,121039,9260103713,18MAY2003,18MAY2003,1230754828,1,220101400269,4,$268.00,$29.80,
544,99999999,9050100008,21MAY2003,22MAY2003,1230771337,2,230100500012,3,$221.70,$33.25,
111,120148,1600102072,23MAY2003,23MAY2003,1230778996,1,230100500096,1,$35.50,$17.25,
88,99999999,9260100179,25MAY2003,28MAY2003,1230793366,2,240400200097,3,"$1,250.40",$124.20,
23,99999999,9260126679,27MAY2003,01JUN2003,1230804171,2,240500200073,3,$148.50,$20.65,
71,121064,9260124130,31MAY2003,31MAY2003,1230825762,1,230100500093,2,$265.60,$55.85,
23,99999999,9260126679,03JUN2003,08JUN2003,1230841456,2,240700400024,2,$127.20,$33.15,
75,121094,9260108068,03JUN2003,03JUN2003,1230841466,1,240500100062,2,$109.20,$23.85,
75,121094,9260108068,03JUN2003,03JUN2003,1230841466,1,240500200130,2,$56.00,$11.70,
56,121043,9260111871,11JUN2003,11JUN2003,1230885738,1,220101300017,2,$33.00,$7.45,
56,121043,9260111871,11JUN2003,11JUN2003,1230885738,1,220101400098,3,$97.20,$14.85,
18,121086,9260112361,16JUN2003,16JUN2003,1230912536,1,240500200121,2,$50.80,$12.10,
17023,99999999,2600100021,20JUN2003,25JUN2003,1230931366,3,240200200007,2,$166.80,$8.35,
17023,99999999,2600100021,20JUN2003,25JUN2003,1230931366,3,240200200061,2,$261.80,$52.45,
171,99999999,1600101555,03JUL2003,06JUL2003,1231002241,3,220101200029,1,$52.30,$22.65,
70108,99999999,2600100046,04JUL2003,05JUL2003,1231008713,2,240200200039,2,$42.40,$8.80,
2806,99999999,8010100089,04JUL2003,08JUL2003,1231014780,2,240100400043,4,"$1,064.00",$131.50,
215,120145,1600102721,07JUL2003,07JUL2003,1231023774,1,230100500024,1,$22.90,$10.85,
215,120145,1600102721,07JUL2003,07JUL2003,1231023774,1,230100600015,1,$78.20,$39.20,
13,99999999,3940105189,09JUL2003,14JUL2003,1231035308,2,230100600023,2,$146.80,$36.80,
36,99999999,9260128237,15JUL2003,17JUL2003,1231071449,3,240400200057,2,$257.00,$58.05,
36,99999999,9260128237,15JUL2003,17JUL2003,1231071449,3,240400200066,2,$27.60,$6.30,
12,121064,9260103713,16JUL2003,16JUL2003,1231077006,1,230100500095,2,$193.80,$40.00,
61,99999999,3940108887,20JUL2003,25JUL2003,1231094514,2,230100500074,4,$544.00,$51.30,
