Order_ID,Order_Type,Customer_ID,Order_Date,Delivery_Date
1241054779,3,24,02JAN2007,05JAN2007
1241063739,1,89,03JAN2007,04JAN2007
1241066216,1,171,04JAN2007,04JAN2007
1241086052,3,53,06JAN2007,09JAN2007
1241147641,1,53,13JAN2007,13JAN2007
1241235281,1,171,23JAN2007,30JAN2007
1241244297,1,111,24JAN2007,24JAN2007
1241263172,3,3959,25JAN2007,26JAN2007
1241286432,3,27,28JAN2007,02FEB2007
1241298131,2,2806,29JAN2007,08FEB2007
1241359997,1,12,05FEB2007,05FEB2007
1241371145,1,171,07FEB2007,07FEB2007
1241390440,1,41,09FEB2007,09FEB2007
1241461856,1,18,16FEB2007,17FEB2007
1241561055,1,171,28FEB2007,28FEB2007
1241623505,3,24,06MAR2007,09MAR2007
1241645664,2,70100,09MAR2007,13MAR2007
1241652707,3,27,09MAR2007,14MAR2007
1241686210,1,10,13MAR2007,19MAR2007
1241715610,1,92,16MAR2007,16MAR2007
1241731828,1,31,18MAR2007,18MAR2007
1241789227,3,17023,25MAR2007,30MAR2007
